"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","PRT",-0.02421051633,-0.02526511653,-0.02629178503,-0.02725352475,-0.02816849591,-0.02898149846
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ROU",-0.01982039605,-0.02071060707,-0.0216163921,-0.02263452009,-0.02357068362,-0.02437821093
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","RUS",-0.0225804368,-0.02355789672,-0.02455399822,-0.0255962462,-0.0266448827,-0.02761728693
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","SGP",-0.03684123686,-0.03860248003,-0.04036191306,-0.04205722292,-0.04366928791,-0.04517369743
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","SVK",-0.01487331263,-0.01547503436,-0.01618572242,-0.01695196768,-0.01761412142,-0.01810738432
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","SVN",-0.01399356531,-0.01446983865,-0.01494467567,-0.01543037122,-0.01588167899,-0.01625500453
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ZAF",-0.02610348399,-0.02738822598,-0.02860991906,-0.02970235824,-0.0307298279,-0.03176549012
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","KOR",-0.02090776361,-0.02138613279,-0.02205106538,-0.02272154105,-0.02335289591,-0.02390429235
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ESP",-0.02417428317,-0.0252416372,-0.02640084852,-0.02739498794,-0.02827466062,-0.02900006393
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","SWE",-0.01522013335,-0.01581028542,-0.01640349337,-0.01694582121,-0.01740027611,-0.01775812647
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CHE",-0.01251965237,-0.01303272103,-0.01349620801,-0.01387940477,-0.01418700717,-0.01447055952
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","TWN",-0.02764073,-0.02874402831,-0.03000113197,-0.03107422346,-0.03197993384,-0.03278677417
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","TUR",-0.02078052849,-0.02163898101,-0.02248400004,-0.02343549377,-0.02437102209,-0.02530217428
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","GBR",-0.01241394995,-0.01291567099,-0.01344072788,-0.01387779534,-0.01419296069,-0.01442591155
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","USA",-0.03161082443,-0.03277451684,-0.03388428728,-0.03498352051,-0.03608037369,-0.03702579514
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","VNM",-0.0436774009,-0.04596205651,-0.04826820411,-0.05037037162,-0.05239303713,-0.05443832366
"GCAM 6.0 NGFS","Net Zero 2050",NA,-0.1236746189,-0.1319547754,-0.1385639619,-0.1438758639,-0.148518276,-0.1528458762
"GCAM 6.0 NGFS","Net Zero 2050","ARG",-0.01697947368,-0.01739493993,-0.01759435198,-0.01760591696,-0.01751379551,-0.01727795092
"GCAM 6.0 NGFS","Net Zero 2050",NA,-0.01930609101,-0.01967251623,-0.01992891345,-0.01963583507,-0.01898675967,-0.01818482461
"GCAM 6.0 NGFS","Net Zero 2050","AUS",-0.02863039211,-0.02919952855,-0.02995725953,-0.03040001568,-0.03062517997,-0.030822334
"GCAM 6.0 NGFS","Net Zero 2050","AUT",-0.03937076723,-0.03893579495,-0.03834014589,-0.03729711477,-0.03587853043,-0.03426493847
"GCAM 6.0 NGFS","Net Zero 2050","BEL",0.00332469948,0.00432750892,0.00551404829,0.00739551199,0.00936070904,0.01106657443
"GCAM 6.0 NGFS","Net Zero 2050","BRA",-0.0477349377,-0.04991281416,-0.05159383763,-0.05278745915,-0.05379829985,-0.05473289032
"GCAM 6.0 NGFS","Net Zero 2050","BGR",-0.00457570931,-0.00460781442,-0.00477966494,-0.0045860281,-0.0047118775,-0.00518804659
"GCAM 6.0 NGFS","Net Zero 2050","CAN",-0.02326765109,-0.02491599877,-0.02659187112,-0.02812001212,-0.0298167746,-0.03183871442
"GCAM 6.0 NGFS","Net Zero 2050","CHL",0.01957796524,0.02124536554,0.02260911521,0.02400013154,0.02519381374,0.02615329462
"GCAM 6.0 NGFS","Net Zero 2050","CHN",-0.02962940564,-0.03250823556,-0.03586583497,-0.03844075792,-0.03997183846,-0.04036667722
"GCAM 6.0 NGFS","Net Zero 2050","HRV",-0.03930166981,-0.04171335238,-0.04299504013,-0.04264004013,-0.04149582237,-0.04000362222
"GCAM 6.0 NGFS","Net Zero 2050","CZE",0.00558285007,0.00611772432,0.00605139527,0.0060892666,0.00609200206,0.0058707976
"GCAM 6.0 NGFS","Net Zero 2050","DNK",-0.01223559026,-0.01207050447,-0.0122279242,-0.01206870496,-0.01180787424,-0.01176678798
"GCAM 6.0 NGFS","Net Zero 2050",NA,-0.00612450789,-0.00539212217,-0.00473200261,-0.00347296342,-0.00187928335,-0.0002449579
